city,building_street_index_sem,building_intersect_index_sem,building_corners_sem,building_squareness_sem,building_perimeter_sem,building_shape_index_sem,building_circular_compactness_sem,building_square_compactness_sem,building_weighted_axis_compactness_sem,building_convexity_sem,building_courtyard_area_sem,building_courtyard_index_sem,building_fractal_dimension_sem,building_facade_ratio_sem,building_orientation_sem,building_longest_axis_length_sem,building_equivalent_rectangular_index_sem,building_elongation_sem,building_rectangularity_sem,building_shared_walls_length_sem,building_perimeter_wall_sem,building_alignment_sem,building_adjacency_sem,building_mean_interbuilding_distance_sem,building_neighbour_distance_sem,building_courtyards_num_sem,building_street_alignment_sem,street_mm_len_sem,street_node_start_sem,street_node_end_sem,street_width_sem,street_openness_sem,street_width_dev_sem,street_orientation_sem,street_longest_axis_length_sem,street_compactness_weighted_axis_sem,street_linearity_sem,street_length_sem,street_stroke_id_sem,junction_x_sem,junction_y_sem,junction_degree_sem,junction_closeness_sem,junction_cluster_sem,junction_cyclomatic_sem,junction_edge_node_ratio_sem,junction_gamma_sem,junction_mean_nd_sem,junction_meanlen_sem,junction_meshedness_sem,junction_node_density_sem,junction_node_density_weighted_sem,junction_straightness_sem,junction_nodeID_sem
Jerusalem,17.118959088850826,12.721614122403286,0.020952435998548843,0.0343100144069953,0.30627994662942976,0.0004063946172248063,0.0005435520989280537,0.0008453820042411897,0.09218781137452013,0.0004257047944267596,0.5139474831892413,7.114278890994839e-05,0.00019260598825763815,0.00847548372922187,0.07241195711187078,0.09732075146298626,0.00045263720325584004,0.0010226096065456183,0.0006824913091870527,0.00022347981187466256,1.2590301942683508,0.027113024706147463,0.0003199176411670978,0.058195276674998395,0.4007427143095204,0.007247347958193098,0.05511699294135013,1.4794216973603866,21.992823537810494,22.573378000818675,0.11341524519809905,0.0021796259541993646,0.02386881148434857,0.11994248625884357,1.2426781127044872,1.5822269144722125,0.0010317345322686628,1.4794216973603866,10.649083681983113,22.680271522332426,40.09086869434283,0.009932282147782167,9.42359154857622e-08,0.0004903260691740846,0.07924530527779326,0.0013532964544619704,0.00042220597435931056,0.003030521646478682,1.264306640970694,0.0006719474477322265,3.3210894859945695e-05,6.937400606735185e-05,0.0010908013482260335,26.728573973683424
Tel Aviv,15.678212667304228,10.456945450465142,0.017388227308232203,0.043797041915295556,0.298784308368366,0.0004648890840505482,0.0006296828338905919,0.0008602201072503681,0.0848565718073856,0.00037018907835332165,0.38958675142908944,0.0004905298148661128,0.00019815872485369338,0.010522521650514437,0.0718417503404397,0.10106174301647847,0.00041052291325440794,0.0012389213563753461,0.0006221814183420589,0.0005250653277867013,0.5458601494363075,0.024757126902993865,0.000631398331609744,0.051264717541582704,0.3418732931923541,0.0010386764398759131,0.05049255302929777,1.0560622043099794,18.377852936251397,18.75201553165524,0.14823868356792053,0.00262731084784394,0.026206242488019456,0.12628957644210356,0.9804036882882848,1.2482887457328504,0.0009600551484672313,1.0560622043099794,8.114304539018617,25.75040615888088,38.94814654591795,0.010927806599655065,8.431366421557893e-08,0.0006292151156455357,0.09987361206847208,0.001374026716622908,0.00041533016993077474,0.0030552506816980264,0.8755050930669115,0.0006653797660762602,4.389498234754824e-05,8.165001727447264e-05,0.0009469702838881107,22.990940244655793
Haifa,11.813230689644689,8.123319826124538,0.019356595453915385,0.05290269056903775,0.3696804980292014,0.000608161917293918,0.0008242892165040778,0.001070633422478974,0.11112611110103404,0.00045390213960743825,0.5533284572069236,4.73626603226911e-05,0.00023156530504921593,0.013284593545623492,0.0977323007221618,0.13290795484612647,0.0004773834508828447,0.0015724527477809656,0.0007543065997781572,0.00022622298919618004,0.6498106348511984,0.03641283105467518,0.000275556342509815,0.08412863004585526,0.5152353690575033,0.0002854151896178305,0.07328368029383378,2.12406700457642,16.194692408824935,16.148358923598437,0.13350182896630702,0.0026253857671818875,0.03316241056978865,0.16078376651575998,1.8909262605406454,2.4076020910985347,0.0012771075738351155,2.12406700457642,8.185663337900312,44.16269309562452,28.986389131272876,0.011216723062870524,2.2184884393880227e-07,0.0007332698786398871,0.08849852231491612,0.001403510938057666,0.0004276321632209584,0.0030448275881058747,1.9353269024754973,0.0006807614682923949,4.948046457569934e-05,9.592602621738048e-05,0.0012829643130794384,19.60229578391266
Rishon LeZion,12.561920759793967,8.666247387848257,0.01964559314756955,0.04330633284279692,0.4110193260018104,0.0005570130038759909,0.0007634233410427357,0.0010155848129075617,0.11321244415020827,0.0004261683795661955,0.10709191252953372,2.7156090445726933e-05,0.0002107414087029566,0.01585822401677554,0.0960214361312041,0.14575751228304262,0.0004525449151713586,0.001653311531768074,0.00071497403170865,0.00015818966240702803,0.42857451652191786,0.033379447556586464,0.00015816858367746786,0.10850812953355964,0.5424932989500776,0.00035198424816865816,0.07392325878878092,2.3645687395780133,15.087682792667135,15.09597579368212,0.16321836997374642,0.0030355778258028695,0.03169357634070849,0.15366484478892653,2.0741482291934714,2.64088754705154,0.001723533089566103,2.3645687395780133,7.178403802395995,37.52020293076824,23.764654833972017,0.01302924119815883,2.1726977492993282e-07,0.0008305870637958248,0.10621348941240996,0.001641765283498452,0.0005114318255104943,0.003495430932114928,2.673625090866024,0.0008065867910189823,5.365233110140858e-05,0.00010053512298006427,0.001319772477870168,18.275666882497067
Petah Tikva,8.428114243978733,5.794132058638105,0.04449494360672854,0.0541070401954303,0.4185237932278872,0.0006765842616835867,0.0009106724837833797,0.0014590438406630246,0.11201409826684004,0.0006555552180581081,0.1654738396381238,5.405257203383891e-05,0.0003552223472430619,0.015374808261223146,0.11698202403113057,0.1365476298221827,0.0008192036637698589,0.001821186158545653,0.0010446675171130267,0.0008198750102320589,0.7285742667615166,0.03857039116942464,0.0011148196432816814,0.05552802094462616,0.2665474495621293,0.0012067714165792114,0.0784302424524622,1.474198850989165,11.83806116395857,12.135145874170602,0.1877699806329596,0.003690681373157261,0.03643089397879804,0.21512261046501527,1.335110181596914,1.6999150797877354,0.0016336250363976489,1.474198850989165,5.4114041448860295,30.559568380694852,22.038686861806877,0.01692775301397342,3.179751382805966e-07,0.0008134607615063928,0.1404460177123097,0.0021212781231120755,0.0006508852288635625,0.0044400220312644624,1.1250775449707586,0.0010406003965621458,4.2681801917111654e-05,8.557648211300406e-05,0.0016096796764975625,14.849242404917497
Ashdod,11.916372292834229,8.433760051904727,0.0456482632335469,0.09531490858187311,0.8221193139230825,0.0012458871484723208,0.0016386753967594083,0.0023952543103000737,0.2592708347696152,0.0012518375073141432,0.13324920035604412,4.8878681271290245e-05,0.0005189337293510536,0.02674746524675929,0.13396813143099714,0.28486833934508493,0.0012470274131672328,0.0030042413632645278,0.0018909013059828326,0.0003096738621708477,0.9388163436227446,0.054275777434810546,0.00037781201980086943,0.11534002480341027,0.5902818774974119,0.0010740768697877494,0.11355436896515471,1.8948891461742008,11.783672249948479,11.747211087678593,0.18135226799313128,0.003562984266661737,0.04261352160321336,0.18855808029854448,1.7955424714437218,2.2861556788936537,0.0019640885631731805,1.8948891461742008,5.716845388293428,23.658161112400347,29.552711126893545,0.018206649966738136,4.0328013273292787e-07,0.0009680596929573424,0.13698682190906047,0.0022632880137001257,0.0006796711448212291,0.005227656341212181,1.2157182585882773,0.001100875566202876,7.514194840725806e-05,0.00010970000940622298,0.0017809764210746277,14.153915830374764
Netanya,9.52091074626834,6.528524863722869,0.03172635957101015,0.05117470052080733,0.5028124370641855,0.0007301590132130555,0.0009943358317150315,0.0013357423391530618,0.14006951880155946,0.0006023280299844398,0.16161264874083817,3.378612371114263e-05,0.0002757730963144704,0.01829824105668404,0.12186506603841463,0.17130005652689292,0.0006270874396435743,0.0020752898564117416,0.0010039159429233965,0.00047066556947691066,0.7044876576866147,0.04491491151709052,0.0006434376762345945,0.08012626978465309,0.5740385567432189,0.00047132649252632137,0.09005873109453989,2.0380093106042683,11.836803785404074,11.916110152223629,0.18988540350325275,0.003748362255044856,0.04327249218447349,0.20954840165427166,1.9208618435044713,2.445717259122779,0.0018270768388373587,2.0380093106042683,5.845570987151852,22.681704691879208,46.08598514718592,0.015265796471184047,7.236302395098065e-07,0.0010948759425956458,0.1278453638334468,0.0021355897904628265,0.0006584728285750261,0.004727309118377194,1.7907864349779952,0.0010552615233954505,7.986047196398735e-05,0.00011424599875797354,0.0015416729343017475,14.422205101855958
Beer Sheva,16.816770567435473,12.259387770945791,0.027886680967159124,0.04302469761869583,0.4673422459838259,0.0006338510599224674,0.0008427770854068756,0.00128904379048309,0.14246621286433403,0.0006138497691873652,0.167731851319924,8.904098178402279e-05,0.0002789572325476092,0.014123892124173285,0.11354312869131009,0.15831793881041648,0.0006567381565782142,0.0015644608950085132,0.0009402286800412681,0.0001308664341907986,0.535268175659641,0.0389312090958698,0.00017396778634982428,0.0773694384239103,0.3770273182556061,0.0006452773886353657,0.07973232692726151,1.742332825544612,17.845131860515682,17.57216820938325,0.1308908304198353,0.0026325537120881893,0.027649227455133926,0.1571420454847437,1.5972617553055435,2.0336968301481173,0.001208496530728037,1.742332825544612,8.922913837340515,26.854351878399925,26.659634739257726,0.011251411114940976,2.686985162469788e-07,0.0006836121995527948,0.08505825505102779,0.0015362602585099463,0.00048553070508318197,0.0034415468925551116,1.461914019231944,0.0007692434077192456,4.36071308199193e-05,8.061050070074259e-05,0.0011907683361224444,20.99007702066225
Bnei Brak,4.3173302405040515,3.0723133646731653,0.028768948081944516,0.09640940463008416,0.5520269017342102,0.0009690989913797631,0.0013548651552659854,0.0017083979919502463,0.1524679702156022,0.000662213101387766,0.1480682138595876,7.544708033844716e-05,0.0003657669416670725,0.021596730452302964,0.15880856244049815,0.1901685574709152,0.0007726954343828566,0.002730592937392485,0.0012727855374873723,0.0007085799641982031,0.6316140120932436,0.05454232671263644,0.0008624821131694917,0.059905651047781144,0.36584713251184925,0.0005942941156942238,0.1293391288205905,3.2664818036615,6.903000226319903,7.121535837494236,0.36678623170954394,0.0070704311521182055,0.06010583431365702,0.35015901303445335,3.0025161852277753,3.82292234073937,0.003234964180458667,3.2664818036615,3.199286513412125,20.130128586361796,30.761861536149308,0.03102129056932535,2.6224639900975578e-06,0.0019375120000976267,0.20091498298435065,0.0034086858574971365,0.0011315585019971745,0.0062539135688459875,2.6611084457159717,0.0017511682633174707,6.022722225836042e-05,0.00011925062209232295,0.0027700041220777073,8.475454756727412
Holon,8.65081649237422,5.931669478420322,0.03371602371974374,0.054507163299038715,0.5942678496891836,0.0009305847847343538,0.0012424243963375001,0.0016248401723251344,0.17444032712996893,0.0006469213210391017,0.03472385197579224,8.387030616517848e-06,0.00034136257057459815,0.021806865543708302,0.16940705529505848,0.2090490621010089,0.0006913877571851807,0.0024245232849228297,0.0010349071599727749,0.00015228063657905688,0.6683691101795207,0.05476513598909257,0.00018432344704092404,0.09321928021658314,0.42091700332129167,0.00013509862199405565,0.10545809083423797,1.8169666727855194,10.667542473488501,10.604339413516117,0.2361110977758289,0.004518224559947294,0.04415439110666969,0.262240185973221,1.654272815298589,2.1062855662185314,0.0015864807291990878,1.8169666727855194,4.765799854918088,26.715278157667075,22.03486465550602,0.018847838114615573,9.910744618967586e-07,0.0012165541026102507,0.17720483759612102,0.0025589055289928844,0.0007748327751172557,0.005766666089579353,1.6218594846994505,0.001243683680067156,6.89686573609116e-05,0.00011888651449501911,0.0016149164720671595,13.01601577544629
