Cluster,Metric,Flexibility Score
6,perimeter_wall,0.8192884121574688
6,Area,0.6496047009614305
6,shape_index,0.5000235346297421
6,equivalent_rectangular_index,0.4987403220199883
6,rectangularity,0.49843774714908534
6,circular_compactness,0.4939492258636924
6,adjacency,0.49223215984825036
6,square_compactness,0.4902655936853839
6,elongation,0.48881912160654123
6,fractal_dimension,0.4681939824218052
6,facade_ratio,0.4480010117057195
6,mean_interbuilding_distance,0.4204972182688999
6,orientation,0.4190640974558529
6,longest_axis_length,0.41377638025027275
6,shared_walls_length,0.4097410844121431
6,perimeter,0.40659209597729634
6,weighted_axis_compactness,0.3771922347811593
6,street_alignment,0.3751287431956098
6,neighbour_distance,0.3725244175642401
6,alignment,0.36718623092773006
6,squareness,0.32778111268385113
6,courtyards_num,0.26806905697343597
6,corners,0.2646312511972891
6,courtyard_index,0.022064501862286954
6,courtyard_area,0.02195096289514257
3,Area,0.9758773095274418
3,perimeter_wall,0.5465496638787773
3,perimeter,0.5393125053405562
3,longest_axis_length,0.5063315182740323
3,mean_interbuilding_distance,0.5026119377338112
3,neighbour_distance,0.5005115168551418
3,adjacency,0.5000026076840532
3,equivalent_rectangular_index,0.49896896339839386
3,shape_index,0.4989097741339409
3,square_compactness,0.4976834343903211
3,circular_compactness,0.497651248625228
3,rectangularity,0.49748333186969984
3,orientation,0.49575502074843564
3,weighted_axis_compactness,0.4950032527331323
3,facade_ratio,0.4949322453883322
3,elongation,0.49472233068986826
3,fractal_dimension,0.4941487133521726
3,alignment,0.487947131287799
3,street_alignment,0.4783973335058836
3,corners,0.4717266200488771
3,squareness,0.36154199775134194
3,shared_walls_length,0.14442564031379904
3,courtyards_num,0.07963776465006552
3,courtyard_area,0.04843512994035612
3,courtyard_index,0.009824832786393732
2,Area,0.9579465798947034
2,perimeter_wall,0.5443228723463115
2,perimeter,0.5316593206408622
2,adjacency,0.5000145186660575
2,mean_interbuilding_distance,0.498476502670065
2,shape_index,0.49756606686135985
2,equivalent_rectangular_index,0.49628688687328315
2,rectangularity,0.4961713449823285
2,longest_axis_length,0.4959848862377667
