Cluster,Metric,Flexibility Score
5,shape_index,0.4994973033960515
5,equivalent_rectangular_index,0.4992898545023907
5,rectangularity,0.4991331511952435
5,circular_compactness,0.4987593091297271
5,square_compactness,0.498668272545606
5,elongation,0.49687484593432146
5,weighted_axis_compactness,0.4957616276151662
5,fractal_dimension,0.4957339025944755
5,facade_ratio,0.4950001075203992
5,orientation,0.49470743274130236
5,alignment,0.4940689718288599
5,street_alignment,0.4882248758586626
5,corners,0.41183311681372137
5,squareness,0.3390386407676343
5,shared_walls_length,0.11199516517117102
5,courtyards_num,0.05810740924542077
5,courtyard_area,0.02079268080190287
5,courtyard_index,0.014627533743273167
7,Area,0.9875431837164186
7,perimeter_wall,0.564714083505674
7,perimeter,0.5628454367829033
7,neighbour_distance,0.5298808827302468
7,orientation,0.5253778305689617
7,mean_interbuilding_distance,0.5191688892457317
7,longest_axis_length,0.518190367749253
7,street_alignment,0.5164262766612089
7,weighted_axis_compactness,0.5082832868603969
7,alignment,0.5075555522264339
7,adjacency,0.5000091101091614
7,equivalent_rectangular_index,0.4998213323141467
7,square_compactness,0.49958515992868235
7,shape_index,0.49950603039445773
7,rectangularity,0.49939730551838324
7,circular_compactness,0.4992154870403304
7,facade_ratio,0.4987523122841539
7,fractal_dimension,0.49766448623485354
7,elongation,0.4974382444225786
7,corners,0.48644790054609943
7,squareness,0.3632977888056726
7,shared_walls_length,0.04491937310884711
7,courtyards_num,0.028730650075246954
7,courtyard_area,0.011522945183716994
7,courtyard_index,0.00676578705943497
8,perimeter_wall,0.8512626098740064
8,Area,0.8095525468422139
8,mean_interbuilding_distance,0.5128023142353373
8,orientation,0.5032194028471815
8,street_alignment,0.5026879581881147
8,equivalent_rectangular_index,0.5000980662338366
8,square_compactness,0.49864311174510306
8,rectangularity,0.49856620197190477
8,shape_index,0.4963178784483697
8,circular_compactness,0.494015314720535
8,elongation,0.470399113822752
8,facade_ratio,0.45288020373848115
8,perimeter,0.44430383362973724
8,neighbour_distance,0.41632299790636274
8,longest_axis_length,0.37185759184572775
8,alignment,0.2846324728515944
8,fractal_dimension,0.27858590561823204
8,squareness,0.2620865082716019
8,courtyards_num,0.25446858779328907
8,shared_walls_length,0.24994751190168757
8,corners,0.20416045875591626
8,weighted_axis_compactness,0.1981987236722336
8,adjacency,0.0
8,courtyard_index,0.0
8,courtyard_area,0.0
